iter	Passed	Remaining
218	26748	95389
219	26885	95322
220	27005	95191
221	27117	95032
222	27241	94916
223	27345	94732
224	27465	94603
225	27594	94504
226	27720	94396
227	27832	94239
228	27944	94082
229	28072	93981
230	28183	93822
231	28303	93693
232	28429	93586
233	28556	93478
234	28682	93370
235	28809	93265
236	28937	93161
237	29054	93022
238	29178	92905
239	29303	92793
240	29432	92693
241	29558	92583
242	29690	92493
243	29810	92363
244	29937	92254
245	30064	92149
246	30199	92066
247	30319	91935
248	30432	91787
249	30553	91661
250	30678	91545
251	30802	91428
252	30930	91324
253	31044	91178
254	31170	91067
255	31290	90936
256	31412	90816
257	31536	90696
258	31661	90583
259	31774	90436
260	31903	90332
261	32030	90222
262	32149	90093
263	32275	89979
264	32388	89833
265	32510	89709
266	32639	89606
267	32768	89502
268	32887	89371
269	33002	89229
270	33128	89118
271	33257	89013
272	33389	88915
273	33513	88799
274	33626	88652
275	33741	88511
276	33863	88387
277	33983	88259
278	34104	88135
279	34219	87994
280	34352	87897
281	34466	87754
282	34593	87646
283	34714	87519
284	34845	87420
285	34965	87291
286	35086	87165
287	35208	87042
288	35328	86916
289	35455	86803
290	35577	86682
291	35697	86554
292	35824	86442
293	35943	86312
294	36067	86196
295	36200	86098
296	36330	85993
297	36465	85902
298	36599	85807
299	36726	85695
300	36849	85575
301	36972	85453
302	37104	85352
303	37228	85234
304	37361	85134
305	37492	85032
306	37614	84907
307	37746	84805
308	37869	84684
309	37988	84555
310	38122	84458
311	38252	84351
312	38368	84215
313	38500	84112
314	38627	84000
315	38752	83882
316	38876	83762
317	39000	83642
318	39119	83512
319	39256	83420
320	39373	83284
321	39500	83171
322	39616	83036
323	39736	82907
324	39875	82817
325	39986	82670
326	40109	82549
327	40242	82447
328	40361	82316
329	40488	82203
330	40621	82101
331	40748	81987
332	40881	81885
333	41005	81766
334	41141	81668
335	41277	81572
336	41407	81463
337	41538	81355
338	41669	81249
339	41794	81130
340	41919	81011
341	42042	80889
342	42169	80773
343	42297	80660
344	42432	80560
345	42558	80443
346	42694	80345
347	42826	80238
348	42958	80131
349	43090	80024
350	43214	79904
351	43347	79799
352	43470	79674
353	43587	79541
354	43716	79428
355	43843	79312
356	43975	79204
357	44102	79089
358	44215	78947
359	44346	78837
360	44475	78725
361	44609	78621
362	44725	78484
363	44860	78381
364	44996	78282
365	45130	78176
366	45258	78061
367	45386	77946
368	45511	77825
369	45637	77707
370	45757	77578
371	45897	77483
372	46030	77375
373	46163	77267
374	46283	77138
375	46410	77021
376	46536	76902
377	46674	76803
378	46804	76690
379	46931	76572
380	47063	76463
381	47189	76343
382	47324	76238
383	47449	76116
384	47575	75997
385	47715	75899
386	47838	75775
387	47963	75654
388	48085	75527
389	48205	75398
390	48332	75279
391	48459	75161
392	48581	75036
393	48712	74923
394	48835	74798
395	48968	74689
396	49101	74579
397	49243	74483
398	49365	74357
399	49490	74235
400	49639	74149
401	49769	74035
402	49889	73905
403	50020	73791
404	50159	73690
405	50289	73576
406	50424	73468
407	50565	73368
408	50688	73244
409	50814	73123
410	50954	73023
411	51085	72907
412	51212	72788
413	51347	72680
414	51470	72555
415	51602	72442
416	51735	72330
417	51868	72219
418	51985	72085
419	52116	71969
420	52248	71857
421	52370	71729
422	52507	71623
423	52630	71497
424	52767	71390
425	52887	71261
426	53027	71158
427	53172	71061
428	53307	70952
429	53440	70839
430	53583	70740
431	53739	70657
432	53869	70539
433	54003	70428
434	54140	70319
435	54278	70213
436	54401	70087
437	54541	69982
438	54674	69868
439	54815	69764
440	54953	69657
441	55092	69551
442	55238	69452
443	55362	69327
444	55505	69225
445	55639	69112
446	55771	68996
447	55905	68883
448	56041	68772
449	56176	68660
450	56307	68542
451	56440	68428
452	56580	68321
453	56714	68207
454	56838	68081
455	56959	67951
456	57090	67834
457	57205	67697
458	57338	67582
459	57474	67470
460	57597	67342
461	57736	67234
462	57855	67102
463	57991	66990
464	58114	66862
465	58235	66733
466	58372	66621
467	58507	66509
468	58643	66395
469	58766	66268
470	58911	66165
471	59034	66038
472	59161	65915
473	59294	65799
474	59427	65682
475	59554	65559
476	59690	65446
477	59828	65335
478	59965	65223
479	60111	65120
480	60239	64998
481	60356	64864
482	60479	64736
483	60606	64613
484	60725	64481
485	60848	64354
486	60988	64244
487	61121	64127
488	61256	64012
489	61384	63889
490	61517	63773
491	61647	63652
492	61769	63523
493	61892	63395
494	62023	63276
495	62151	63154
496	62285	63037
497	62411	62912
498	62546	62797
499	62669	62669
500	62796	62546
501	62912	62411
502	63057	62305
503	63187	62184
504	63329	62075
505	63468	61963
506	63601	61844
507	63729	61722
508	63856	61598
509	63999	61489
510	64122	61361
511	64253	61241
512	64389	61126
513	64526	61010
514	64650	60884
515	64780	60763
516	64908	60640
517	65039	60519
518	65170	60398
519	65287	60265
520	65421	60147
521	65546	60021
522	65689	59912
523	65823	59793
524	65956	59675
525	66091	59558
526	66227	59441
527	66352	59315
528	66484	59194
529	66619	59077
530	66754	58959
531	66888	58841
532	67012	58714
533	67143	58593
534	67275	58472
535	67398	58344
536	67537	58230
537	67663	58105
538	67783	57974
539	67915	57854
540	68045	57731
541	68165	57600
542	68302	57485
543	68419	57352
544	68559	57237
545	68687	57113
546	68824	56997
547	68947	56868
548	69080	56749
549	69211	56627
550	69345	56508
551	69469	56380
552	69598	56257
553	69721	56129
554	69849	56005
555	69972	55877
556	70109	55760
557	70244	55641
558	70364	55510
559	70493	55387
560	70636	55275
561	70752	55141
562	70891	55025
563	71025	54906
564	71155	54783
565	71298	54670
566	71442	54558
567	71583	54443
568	71717	54323
569	71852	54204
570	71996	54091
571	72129	53970
572	72263	53850
573	72403	53735
574	72527	53607
575	72654	53481
576	72784	53358
577	72922	53241
578	73066	53128
579	73194	53003
580	73330	52883
581	73470	52767
582	73612	52652
583	73740	52527
584	73869	52403
585	73999	52279
586	74139	52162
587	74279	52046
588	74409	51922
589	74545	51802
590	74678	51681
591	74811	51559
592	74958	51446
593	75091	51324
594	75228	51205
595	75349	51076
596	75496	50963
597	75628	50840
598	75767	50722
599	75900	50600
600	76042	50484
601	76171	50359
602	76303	50236
603	76441	50117
604	76580	49998
605	76712	49875
606	76845	49753
607	76990	49638
608	77133	49522
609	77273	49404
610	77396	49275
611	77524	49149
612	77648	49021
613	77782	48899
614	77916	48776
615	78047	48653
616	78181	48530
617	78302	48400
618	78438	48279
619	78580	48162
620	78717	48041
621	78859	47924
622	78983	47795
623	79118	47674
624	79256	47553
625	79392	47432
626	79527	47310
627	79664	47189
628	79797	47066
629	79934	46945
630	80072	46825
631	80200	46698
632	80334	46576
633	80470	46454
634	80611	46335
635	80744	46212
636	80870	46085
637	80998	45958
638	81130	45834
639	81263	45710
640	81403	45591
641	81525	45461
642	81668	45343
643	81790	45213
644	81929	45092
645	82046	44960
646	82184	44839
647	82321	44717
648	82456	44594
649	82579	44465
650	82712	44341
651	82844	44217
652	82978	44094
653	83101	43964
654	83243	43845
655	83364	43715
656	83495	43590
657	83634	43469
658	83764	43343
659	83913	43227
660	84037	43099
661	84175	42977
662	84315	42857
663	84452	42735
664	84582	42609
665	84704	42479
666	84843	42358
667	84980	42235
668	85121	42115
669	85251	41989
670	85381	41863
671	85513	41738
672	85654	41618
673	85778	41489
674	85909	41363
675	86032	41234
676	86159	41106
677	86299	40985
678	86422	40856
679	86545	40727
680	86670	40598
681	86800	40473
682	86933	40348
683	87067	40224
684	87193	40096
685	87331	39973
686	87477	39855
687	87610	39730
688	87749	39608
689	87874	39479
690	88002	39352
691	88149	39234
692	88276	39106
693	88403	38979
694	88541	38856
695	88672	38730
696	88800	38603
697	88939	38481
698	89088	38363
699	89214	38234
700	89355	38113
701	89494	37990
702	89633	37867
703	89769	37743
704	89899	37617
705	90026	37489
706	90170	37369
707	90295	37240
708	90424	37113
709	90552	36986
710	90692	36863
711	90822	36737
712	90956	36612
713	91087	36485
714	91223	36361
715	91355	36235
716	91485	36109
717	91619	35984
718	91760	35861
719	91882	35732
720	92015	35606
721	92160	35485
722	92285	35357
723	92417	35231
724	92560	35109
725	92702	34986
726	92830	34859
727	92963	34733
728	93097	34608
729	93239	34485
730	93388	34366
731	93509	34235
732	93651	34113
733	93783	33986
734	93911	33859
735	94036	33730
736	94163	33602
737	94293	33475
738	94445	33356
739	94577	33229
740	94719	33107
741	94852	32980
742	94996	32858
743	95122	32730
744	95262	32606
745	95397	32481
746	95538	32357
747	95665	32229
748	95799	32103
749	95931	31977
750	96068	31852
751	96198	31725
752	96332	31599
753	96464	31472
754	96595	31345
755	96719	31216
756	96849	31089
757	96980	30962
758	97107	30833
759	97241	30707
760	97378	30582
761	97511	30456
762	97654	30333
763	97776	30203
764	97914	30078
765	98050	29952
766	98185	29826
767	98324	29702
768	98473	29580
769	98601	29452
770	98741	29327
771	98873	29201
772	99007	29074
773	99132	28945
774	99251	28815
775	99386	28688
776	99517	28561
777	99647	28434
778	99785	28308
779	99916	28181
780	100045	28053
781	100187	27929
782	100325	27804
783	100454	27676
784	100597	27552
785	100743	27428
786	100889	27305
787	101019	27177
788	101143	27048
789	101278	26922
790	101432	26800
791	101575	26676
792	101731	26555
793	101876	26431
794	102031	26310
795	102176	26185
796	102328	26063
797	102459	25935
798	102613	25813
799	102744	25686
800	102893	25562
801	103032	25436
802	103180	25313
803	103327	25189
804	103472	25064
805	103612	24939
806	103769	24817
807	103909	24691
808	104045	24564
809	104167	24434
810	104316	24310
811	104458	24185
812	104615	24062
813	104784	23943
814	104923	23816
815	105063	23690
816	105194	23562
817	105322	23433
818	105452	23305
819	105591	23178
820	105733	23052
821	105861	22923
822	106001	22797
823	106137	22670
824	106283	22544
825	106425	22418
826	106551	22289
827	106686	22161
828	106816	22033
829	106959	21907
830	107111	21783
831	107244	21655
832	107391	21529
833	107516	21400
834	107649	21272
835	107781	21143
836	107924	21017
837	108052	20888
838	108196	20762
839	108352	20638
840	108483	20509
841	108623	20383
842	108757	20254
843	108909	20130
844	109059	20005
845	109194	19877
846	109344	19751
847	109488	19625
848	109639	19500
849	109773	19371
850	109920	19245
851	110059	19118
852	110208	18992
853	110367	18868
854	110516	18742
855	110667	18617
856	110820	18491
857	110972	18366
858	111111	18238
859	111255	18111
860	111402	17984
861	111549	17858
862	111697	17731
863	111845	17605
864	111980	17476
865	112126	17349
866	112279	17223
867	112425	17096
868	112585	16971
869	112731	16844
870	112877	16717
871	113029	16591
872	113175	16464
873	113316	16336
874	113453	16207
875	113609	16081
876	113750	15953
877	113885	15824
878	114024	15696
879	114165	15568
880	114304	15439
881	114455	15312
882	114608	15185
883	114741	15056
884	114883	14928
885	115016	14798
886	115155	14670
887	115298	14542
888	115437	14413
889	115597	14287
890	115732	14158
891	115875	14029
892	116013	13900
893	116162	13773
894	116324	13647
895	116473	13519
896	116609	13389
897	116755	13261
898	116914	13135
899	117064	13007
900	117223	12880
901	117358	12750
902	117490	12620
903	117654	12494
904	117802	12365
905	117935	12236
906	118083	12107
907	118232	11979
908	118364	11849
909	118509	11720
910	118659	11592
911	118789	11462
912	118932	11333
913	119079	11204
914	119221	11075
915	119375	10947
916	119537	10819
917	119684	10690
918	119824	10561
919	119963	10431
920	120112	10302
921	120264	10174
922	120414	10045
923	120555	9915
924	120682	9785
925	120807	9654
926	120950	9524
927	121079	9394
928	121215	9264
929	121353	9134
930	121489	9004
931	121636	8874
932	121786	8745
933	121924	8615
934	122076	8486
935	122216	8356
936	122366	8227
937	122508	8097
938	122641	7967
939	122778	7836
940	122909	7706
941	123046	7576
942	123187	7446
943	123321	7315
944	123458	7185
945	123602	7055
946	123758	6926
947	123899	6796
948	124047	6666
949	124206	6537
950	124350	6407
951	124503	6277
952	124655	6147
953	124826	6018
954	124970	5888
955	125112	5758
956	125253	5627
957	125415	5498
958	125544	5367
959	125699	5237
960	125862	5107
961	126010	4977
962	126158	4847
963	126311	4717
964	126449	4586
965	126607	4456
966	126758	4325
967	126899	4195
968	127044	4064
969	127201	3934
970	127344	3803
971	127499	3672
972	127650	3542
973	127793	3411
974	127945	3280
975	128104	3150
976	128256	3019
977	128394	2888
978	128521	2756
979	128648	2625
980	128793	2494
981	128933	2363
982	129069	2232
983	129212	2101
984	129358	1969
985	129495	1838
986	129621	1707
987	129771	1576
988	129902	1444
989	130036	1313
990	130179	1182
991	130325	1051
992	130457	919
993	130601	788
994	130741	656
995	130894	525
996	131042	394
997	131178	262
998	131309	131
999	131448	0
